file_x,file_y,decision,distance_l2,distance_l2_scaled,y,pred_euclidean_l2
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3093158985,2706996080_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1013737124,3706775295_align.jpg",Yes,1.1996,-1.1996,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/4210762488,3253594_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/3926336065,2795486815_align.jpg",Yes,1.5132,-1.5132,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/10273/1342844330,1363001830_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/10273/1490569312,2589782820_align.jpg",Yes,1.5923,-1.5923,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/4181416224,2773694948_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/12995564,3261880853_align.jpg",Yes,1.2651,-1.2651,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3284027956,1401527362_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3336625223,956952275_align.jpg",Yes,1.2943,-1.2943,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2735/1965071103,343429495_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2735/1109821201,540267400_align.jpg",Yes,1.2992,-1.2992,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/3138458256,51664329_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/3897608689,2869070275_align.jpg",Yes,1.3715,-1.3715,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6845/2114797780,1486741221_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6845/3648335384,3925041741_align.jpg",Yes,1.0796,-1.0796,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/2667841968,362634289_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/2873018671,1238598578_align.jpg",Yes,1.4326,-1.4326,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7257/396204574,2535271634_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7257/3465822142,793893844_align.jpg",Yes,1.1405,-1.1405,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1280497489,1697627976_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2220535786,780378853_align.jpg",Yes,1.1885,-1.1885,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1022320339,1795797080_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3009557172,1007500304_align.jpg",Yes,1.1176,-1.1176,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/3120665925,3809742267_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/1932776941,1482560702_align.jpg",Yes,1.4335,-1.4335,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/3062101096,2293693446_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/624065243,1509707904_align.jpg",Yes,1.3374,-1.3374,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/3399/2472097815,2957587023_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/3399/4240269954,694053149_align.jpg",Yes,1.3922,-1.3922,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/1610657683,3139902390_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/3351543349,714534003_align.jpg",Yes,0.9737,-0.9737,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/18934972,3242718170_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/32102006,150964000_align.jpg",Yes,1.2615,-1.2615,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/1996581153,108157588_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/1930572944,4276706169_align.jpg",Yes,1.3917,-1.3917,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5758/3955347995,60157703_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5758/1351304126,3227859506_align.jpg",Yes,1.09,-1.09,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2560445581,2999202113_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3249090030,1483823437_align.jpg",Yes,1.442,-1.442,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4822/4272092638,2118501124_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4822/3866867599,2306460809_align.jpg",Yes,1.3506,-1.3506,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/3131948157,79761314_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/3753594360,37224174_align.jpg",Yes,1.2358,-1.2358,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1228627335,748164439_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/762801519,2742538776_align.jpg",Yes,1.5894,-1.5894,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/556567915,1042302243_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/2374507147,369808208_align.jpg",Yes,1.6455,-1.6455,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12227/1400523968,1251855536_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12227/1217888495,879939807_align.jpg",Yes,1.5112,-1.5112,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6728/1459504871,1018886662_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6728/4200703204,1139991824_align.jpg",Yes,1.5525,-1.5525,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4869/563617405,58547202_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4869/2716622449,2120265562_align.jpg",Yes,1.1627,-1.1627,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2365861575,892233575_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2697638084,886105774_align.jpg",Yes,1.2237,-1.2237,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/287359970,3834211754_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/1569077698,1360269188_align.jpg",Yes,1.3694,-1.3694,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1075690761,1326585677_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1513797918,2914663305_align.jpg",Yes,1.3053,-1.3053,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14727/1216209297,313441534_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14727/4018318855,811770713_align.jpg",Yes,1.5686,-1.5686,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/3655178173,893413878_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/2982431025,1359671911_align.jpg",Yes,1.5672,-1.5672,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/1992758880,1018923612_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/2942096982,167628513_align.jpg",Yes,1.3511,-1.3511,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1201908598,4029791285_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1899933343,2546659159_align.jpg",Yes,0.635,-0.635,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/3937547198,3205439288_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/1781274496,4294586260_align.jpg",Yes,1.403,-1.403,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/3259895501,3507864931_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/2400106726,2952386171_align.jpg",Yes,1.4053,-1.4053,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/879560502,2738013849_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3462794939,1686536878_align.jpg",Yes,1.4765,-1.4765,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/1076441660,2917754855_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/2310852841,1154030141_align.jpg",Yes,1.334,-1.334,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/3787709036,4288750899_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/687993105,444125479_align.jpg",Yes,0.9076,-0.9076,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2058165757,2392531092_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3272627908,497247997_align.jpg",Yes,1.2767,-1.2767,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/828535370,4292621850_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/4284157810,3260849671_align.jpg",Yes,0.9783,-0.9783,1,Yes
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5102/5ab5c9ea15ce36d36d9816fc3bf33a87e850b15a.jpg_align.jpg,/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5102/48540923dd54564e37582d28b1de9c82d1584fe6.jpg_align.jpg,Yes,1.2577,-1.2577,1,No
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/a1ec08fa513d26970df1e0e954fbb2fb4316d860.jpg_align.jpg,/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/503d269759ee3d6d8709edf740166d224f4ade3b.jpg_align.jpg,Yes,1.1297,-1.1297,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2860648830,249950535_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/1378878527,2041169832_align.jpg",Yes,1.2992,-1.2992,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12942/4228371570,3253515061_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12942/1921427447,826796202_align.jpg",Yes,0.8407,-0.8407,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2996977972,625184028_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2675010932,1716040946_align.jpg",Yes,1.0535,-1.0535,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/1655927696,3695189197_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/2751688647,73776201_align.jpg",Yes,0.9045,-0.9045,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/640879286,3644133419_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3653981316,212870790_align.jpg",Yes,1.2822,-1.2822,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6712/426777459,1055844236_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6712/2878081410,4269210458_align.jpg",Yes,1.0498,-1.0498,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/903620924,2006679447_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/4288152300,3183554767_align.jpg",Yes,1.075,-1.075,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12240/1300495991,3785063291_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12240/3718698416,2137844465_align.jpg",Yes,1.1917,-1.1917,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/4198803250,2026401963_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3059442998,211309609_align.jpg",Yes,1.4566,-1.4566,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/3182355827,3156492305_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/2560176440,1320381267_align.jpg",Yes,1.5205,-1.5205,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3308250194,3736521374_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/541709747,3085995236_align.jpg",Yes,1.0215,-1.0215,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13159/1793372182,997004713_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13159/3041026982,1089322670_align.jpg",Yes,1.2079,-1.2079,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2230075559,3965935508_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3741792443,2365374906_align.jpg",Yes,1.1728,-1.1728,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/3937547198,3205439288_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/757234774,1174013542_align.jpg",Yes,0.9312,-0.9312,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/2466383949,2452816096_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/487631364,2177110378_align.jpg",Yes,0.7266,-0.7266,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/4247558567,1464806129_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/2409631898,1580784581_align.jpg",Yes,1.4276,-1.4276,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/516763590,1889530905_align.jpg",/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/c995d143ad4bd113ff8adc0e59afa40f4bfb0542.jpg_align.jpg,Yes,0.9308,-0.9308,1,Yes
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2772/5327ce16531cc427972b43dc.jpg_align.jpg,"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2772/2221283766,3190604877_align.jpg",Yes,1.5169,-1.5169,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3448895489,3813554907_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/1357855051,814376587_align.jpg",Yes,1.1031,-1.1031,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/3182252273,2224753976_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/611979849,3000977466_align.jpg",Yes,1.0881,-1.0881,1,No
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11621/eaf81a4c510fd9f9bbf382a8252dd42a2934a40f.jpg_align.jpg,/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11621/faedab64034f78f0e3464d3279310a55b2191ca5.jpg_align.jpg,Yes,1.2228,-1.2228,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1217540837,529944705_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1201423626,2777407259_align.jpg",Yes,1.2156,-1.2156,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11079/1900614006,2594896016_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11079/401734631,145536014_align.jpg",Yes,1.2392,-1.2392,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/984/642126081,73856954_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/984/3341364480,1212506068_align.jpg",Yes,1.2692,-1.2692,1,No
